,Lead_Id,Name,Gender,City,University,Year_Of_Study,Program_Interested,Source,Converted
1323,LD1324,Anna Munoz,Male,Delhi,Manipal University,1st,Java,College Collaboration,Yes
1324,LD1325,Darren Anderson,Female,Delhi,Delhi Unversity,3rd,AI,College Collaboration,Yes
1325,LD1326,Sarah Williams,Female,Hyderabad,Jawaharlal Nehru Unversity,1st,Java,LinkedIn,No
1326,LD1327,James Roach,Male,Delhi,Delhi Unversity,1st,Data Science,Mass-Mailing,Yes
1327,LD1328,Jeremy Delacruz,Male,Ahmedabad,Jain University,3rd,Data Science,Whatsapp,Yes
1328,LD1329,David Pruitt,Female,Delhi,Delhi Unversity,1st,Data Science,College Collaboration,Yes
1329,LD1330,Thomas Thompson,Male,Mumbai,Jain University,1st,Data Science,College Collaboration,No
1330,LD1331,Connie Terrell,Male,Bangalore,Gujarat Technological University,3rd,Electric vehicle,College Collaboration,No
1331,LD1332,Deborah Nguyen,Male,Ahmedabad,IIT,1st,Autocad,Whatsapp,No
1332,LD1333,Benjamin Bullock,Female,Bangalore,Gujarat Technological University,2nd,Data Science,Instagram,Yes
1333,LD1334,Andrea Mccann,Male,Pune,IIT,2nd,AI,Whatsapp,Yes
1334,LD1335,Vincent Lawrence,Male,Delhi,Gujarat Technological University,2nd,Machine Learning,Instagram,No
1335,LD1336,Sophia Leonard,Male,Bangalore,Jain University,4th,Robotics,Google Form,Yes
1336,LD1337,Patricia Moran,Female,Bangalore,Delhi Unversity,1st,Machine Learning,Mass-Mailing,No
1337,LD1338,Michael Reed,Female,Delhi,Gujarat Technological University,1st,Robotics,LinkedIn,Yes
1338,LD1339,Anthony Moore,Female,Bangalore,Manipal University,2nd,Java,Google Form,No
1339,LD1340,Stephanie Wright,Female,Mumbai,Jain University,3rd,Java,LinkedIn,Yes
1340,LD1341,David Jones,Female,Surat,Manipal University,1st,Robotics,College Collaboration,Yes
1341,LD1342,Sarah Flores,Male,Bangalore,Amity University,2nd,AI,LinkedIn,No
1342,LD1343,Lauren Bush,Female,Delhi,Jain University,2nd,Robotics,Mass-Mailing,Yes
1343,LD1344,Douglas Hill,Male,Hyderabad,Gujarat Technological University,3rd,Electric vehicle,Google Form,Yes
1344,LD1345,Taylor Kirby,Male,Hyderabad,Jawaharlal Nehru Unversity,1st,Machine Learning,Whatsapp,No
1345,LD1346,Virginia Hernandez,Male,Hyderabad,Mumbai University,4th,Data Science,Whatsapp,Yes
1346,LD1347,Gabriel Strong,Female,Surat,IIT,3rd,AI,Mass-Mailing,No
1347,LD1348,Bradley Smith,Male,Delhi,Delhi Unversity,1st,Robotics,LinkedIn,No
1348,LD1349,Peter Gross,Male,Bangalore,Amity University,3rd,AI,Whatsapp,No
1349,LD1350,Timothy Jones,Male,Bangalore,Amity University,4th,Data Science,Whatsapp,No
1350,LD1351,Kimberly Perez,Female,Pune,Jain University,2nd,Machine Learning,Whatsapp,Yes
1351,LD1352,Michael Young,Female,Hyderabad,IIT,1st,Robotics,College Collaboration,No
1352,LD1353,Jesus Reynolds,Female,Mumbai,Amity University,4th,Electric vehicle,College Collaboration,No
1353,LD1354,Michelle Bell,Female,Delhi,IIT,1st,Data Science,LinkedIn,No
1354,LD1355,Duane Bowen,Female,Indore,Manipal University,3rd,Machine Learning,LinkedIn,Yes
1355,LD1356,Elizabeth Jackson,Female,Bangalore,Mumbai University,1st,Electric vehicle,College Collaboration,Yes
1356,LD1357,Alexander Manning,Male,Hyderabad,Mumbai University,2nd,Data Science,Mass-Mailing,No
1357,LD1358,Kevin Barnes,Male,Indore,Gujarat Technological University,3rd,Data Science,Whatsapp,Yes
1358,LD1359,John Perez,Male,Surat,Jawaharlal Nehru Unversity,3rd,Machine Learning,Google Form,Yes
1359,LD1360,Valerie Gardner,Male,Delhi,Jawaharlal Nehru Unversity,1st,Robotics,Instagram,Yes
1360,LD1361,Katherine Wilson,Male,Pune,Jawaharlal Nehru Unversity,4th,AI,College Collaboration,Yes
1361,LD1362,Gary Rodgers,Female,Ahmedabad,Amity University,1st,Autocad,Google Form,Yes
1362,LD1363,Tammy George,Female,Pune,Delhi Unversity,3rd,Autocad,Mass-Mailing,Yes
1363,LD1364,Christopher Martinez,Female,Pune,Jain University,4th,Electric vehicle,LinkedIn,No
1364,LD1365,Kayla Marsh,Male,Delhi,Delhi Unversity,3rd,Java,Instagram,No
1365,LD1366,Phillip Maddox,Male,Ahmedabad,Delhi Unversity,2nd,Data Science,Mass-Mailing,No
1366,LD1367,David Williams,Male,Indore,Manipal University,4th,Robotics,Google Form,No
1367,LD1368,Natalie Ryan,Female,Ahmedabad,Gujarat Technological University,1st,Autocad,College Collaboration,Yes
1368,LD1369,Susan Walters,Male,Indore,Manipal University,4th,AI,LinkedIn,Yes
1369,LD1370,Caleb Stewart,Male,Hyderabad,Jain University,2nd,Data Science,Mass-Mailing,Yes
1370,LD1371,Autumn Mack,Male,Ahmedabad,Delhi Unversity,2nd,Electric vehicle,LinkedIn,Yes
1371,LD1372,Kaitlyn Ray,Male,Surat,Mumbai University,3rd,Robotics,LinkedIn,Yes
1372,LD1373,Kendra Stone,Female,Ahmedabad,Delhi Unversity,3rd,Electric vehicle,Instagram,Yes
1373,LD1374,Curtis Miller,Male,Indore,Jawaharlal Nehru Unversity,4th,Autocad,LinkedIn,Yes
1374,LD1375,Rachel Davis,Female,Hyderabad,Delhi Unversity,1st,Autocad,Mass-Mailing,No
1375,LD1376,Christopher Kerr,Female,Hyderabad,IIT,4th,Data Science,Mass-Mailing,Yes
1376,LD1377,Sarah Phillips,Female,Indore,Jawaharlal Nehru Unversity,3rd,Machine Learning,Google Form,Yes
1377,LD1378,Scott Stewart DVM,Female,Hyderabad,Mumbai University,4th,Data Science,Instagram,Yes
1378,LD1379,Laura Knox,Female,Ahmedabad,Jain University,2nd,Robotics,Instagram,No
1379,LD1380,Sierra Bartlett,Male,Delhi,Jawaharlal Nehru Unversity,2nd,Java,Whatsapp,No
1380,LD1381,Matthew Peters,Male,Mumbai,Manipal University,3rd,Electric vehicle,Instagram,No
1381,LD1382,Steven Roberts,Female,Mumbai,IIT,1st,AI,Mass-Mailing,Yes
1382,LD1383,Erica Wilson,Male,Indore,IIT,1st,Autocad,College Collaboration,Yes
1383,LD1384,Amy Rodriguez,Male,Hyderabad,IIT,1st,Machine Learning,Whatsapp,Yes
1384,LD1385,Andrea Delacruz,Male,Delhi,Jawaharlal Nehru Unversity,3rd,AI,Instagram,Yes
1385,LD1386,Jennifer Singleton,Female,Pune,Delhi Unversity,1st,Machine Learning,Mass-Mailing,No
1386,LD1387,Daniel Mendoza,Female,Delhi,IIT,1st,AI,College Collaboration,No
1387,LD1388,Christine Marshall,Male,Delhi,Manipal University,3rd,Electric vehicle,Instagram,No
1388,LD1389,Morgan Carter,Female,Ahmedabad,IIT,3rd,Machine Learning,LinkedIn,No
1389,LD1390,Mark Collins,Female,Delhi,Jawaharlal Nehru Unversity,2nd,Robotics,Mass-Mailing,Yes
1390,LD1391,Kari Vasquez,Male,Delhi,Manipal University,2nd,Data Science,Google Form,No
1391,LD1392,Ronald Bright,Female,Pune,Amity University,4th,Robotics,Instagram,Yes
1392,LD1393,Charles Moss,Male,Pune,Amity University,2nd,Robotics,Instagram,No
1393,LD1394,Natalie Campbell,Male,Ahmedabad,Jain University,4th,Autocad,Instagram,Yes
1394,LD1395,Tara Craig,Male,Mumbai,Manipal University,3rd,Machine Learning,Google Form,Yes
1395,LD1396,Nicole Carter,Female,Mumbai,Mumbai University,4th,Java,LinkedIn,No
1396,LD1397,Kevin Guerra,Female,Ahmedabad,Jawaharlal Nehru Unversity,4th,Electric vehicle,College Collaboration,No
1397,LD1398,Carly Craig,Female,Indore,Gujarat Technological University,2nd,Robotics,College Collaboration,No
1398,LD1399,Juan Guzman,Female,Surat,Delhi Unversity,1st,Robotics,Google Form,No
1399,LD1400,Donald Dougherty,Female,Hyderabad,Jain University,1st,Java,LinkedIn,No
1400,LD1401,Robert Hayes,Female,Pune,Gujarat Technological University,3rd,Machine Learning,College Collaboration,No
1401,LD1402,Victor Johnson,Female,Indore,Delhi Unversity,4th,Autocad,LinkedIn,No
1402,LD1403,David Andrade,Female,Hyderabad,Jawaharlal Nehru Unversity,4th,AI,College Collaboration,Yes
1403,LD1404,Carl Diaz,Male,Mumbai,IIT,3rd,Java,Google Form,No
1404,LD1405,Adrian Stewart,Male,Ahmedabad,Amity University,4th,AI,Instagram,Yes
1405,LD1406,Charlotte Powell,Male,Indore,IIT,2nd,Machine Learning,LinkedIn,Yes
1406,LD1407,Ashlee Mendoza,Female,Surat,Delhi Unversity,1st,AI,Whatsapp,No
1407,LD1408,Jordan Sherman,Female,Ahmedabad,IIT,1st,Data Science,College Collaboration,No
1408,LD1409,John Anderson,Female,Delhi,Manipal University,3rd,Data Science,Whatsapp,No
1409,LD1410,Melanie Cruz,Female,Pune,IIT,2nd,Robotics,Instagram,No
1410,LD1411,Antonio Carter,Female,Indore,Amity University,3rd,Data Science,Whatsapp,Yes
1411,LD1412,Gina Fitzpatrick,Male,Mumbai,Amity University,1st,Robotics,LinkedIn,Yes
1412,LD1413,Patrick Davis,Female,Ahmedabad,Delhi Unversity,4th,Machine Learning,Google Form,Yes
1413,LD1414,Stephanie Le,Female,Indore,Jawaharlal Nehru Unversity,4th,Robotics,Google Form,No
1414,LD1415,Edward Flores,Female,Pune,Jawaharlal Nehru Unversity,3rd,Autocad,Mass-Mailing,Yes
1415,LD1416,Scott Johnson,Male,Hyderabad,IIT,1st,Robotics,Instagram,Yes
1416,LD1417,Jessica Ross,Male,Delhi,IIT,3rd,Autocad,LinkedIn,Yes
1417,LD1418,Eric Mayo,Female,Mumbai,Gujarat Technological University,1st,Machine Learning,Whatsapp,Yes
1418,LD1419,Elizabeth Meza,Male,Delhi,Manipal University,4th,Robotics,LinkedIn,No
1419,LD1420,Chris Lowe,Female,Mumbai,Manipal University,3rd,Robotics,Whatsapp,No
1420,LD1421,Tammy Burns,Female,Surat,Delhi Unversity,1st,Java,Instagram,Yes
1421,LD1422,Patrick Kirby,Female,Mumbai,Jawaharlal Nehru Unversity,3rd,Robotics,Whatsapp,Yes
1422,LD1423,Ronald Bruce,Male,Pune,Mumbai University,2nd,Data Science,Whatsapp,Yes
1423,LD1424,Robert Hernandez,Male,Mumbai,Delhi Unversity,3rd,AI,Google Form,No
1424,LD1425,Suzanne King,Male,Bangalore,Jain University,4th,AI,Google Form,No
1425,LD1426,Christopher Forbes,Male,Indore,Jawaharlal Nehru Unversity,3rd,AI,College Collaboration,Yes
1426,LD1427,Ryan Jones,Female,Ahmedabad,Gujarat Technological University,3rd,Robotics,Whatsapp,No
1427,LD1428,Scott Griffith,Male,Ahmedabad,Mumbai University,4th,Java,Mass-Mailing,Yes
1428,LD1429,Courtney Anderson,Male,Mumbai,Mumbai University,1st,Robotics,Google Form,Yes
1429,LD1430,Kristin Rogers,Male,Surat,Manipal University,3rd,Java,Whatsapp,No
1430,LD1431,Joseph Gonzalez,Male,Bangalore,Delhi Unversity,2nd,Autocad,Whatsapp,Yes
1431,LD1432,Cheyenne Tyler,Female,Ahmedabad,Amity University,1st,Machine Learning,College Collaboration,No
1432,LD1433,Jesse Ramirez,Female,Pune,Gujarat Technological University,2nd,Autocad,College Collaboration,No
1433,LD1434,Susan Strickland,Female,Delhi,IIT,4th,AI,College Collaboration,Yes
1434,LD1435,Terri Lynn,Male,Delhi,Delhi Unversity,2nd,Java,Mass-Mailing,No
1435,LD1436,Samantha Allen,Male,Bangalore,Mumbai University,4th,Robotics,College Collaboration,Yes
1436,LD1437,Amber Lewis,Female,Pune,Gujarat Technological University,4th,Data Science,LinkedIn,Yes
1437,LD1438,Michael Holloway,Female,Delhi,Gujarat Technological University,2nd,Java,College Collaboration,No
1438,LD1439,Miss Laura Smith,Female,Mumbai,Jain University,3rd,Machine Learning,LinkedIn,Yes
1439,LD1440,Todd Harris,Male,Pune,Amity University,1st,Autocad,Google Form,No
1440,LD1441,Jeffrey Hall,Male,Delhi,Gujarat Technological University,3rd,Electric vehicle,College Collaboration,Yes
1441,LD1442,Noah Burns,Male,Delhi,Manipal University,4th,Electric vehicle,Instagram,No
1442,LD1443,Jason Williams,Female,Hyderabad,Manipal University,1st,Java,Google Form,No
1443,LD1444,Jesus Brooks,Female,Indore,Gujarat Technological University,4th,Electric vehicle,Whatsapp,Yes
1444,LD1445,Julie Roberson,Female,Pune,Amity University,1st,AI,LinkedIn,Yes
1445,LD1446,Stephanie Wood PhD,Male,Hyderabad,Gujarat Technological University,3rd,AI,LinkedIn,Yes
1446,LD1447,Joy Knox,Male,Indore,Jawaharlal Nehru Unversity,1st,Machine Learning,Instagram,Yes
1447,LD1448,Shawn Jones,Female,Ahmedabad,Manipal University,4th,AI,College Collaboration,Yes
1448,LD1449,Scott Doyle Jr.,Male,Bangalore,Jawaharlal Nehru Unversity,4th,AI,Mass-Mailing,No
1449,LD1450,Carrie Brown,Female,Pune,Jain University,2nd,Java,Mass-Mailing,Yes
1450,LD1451,Todd Hall,Female,Bangalore,Gujarat Technological University,3rd,Robotics,Mass-Mailing,Yes
1451,LD1452,Jason Strong,Male,Surat,Mumbai University,2nd,Electric vehicle,Google Form,Yes
1452,LD1453,Brenda Rogers,Female,Ahmedabad,Gujarat Technological University,4th,AI,Mass-Mailing,No
1453,LD1454,Lisa Byrd,Female,Delhi,Jawaharlal Nehru Unversity,3rd,AI,Mass-Mailing,No
1454,LD1455,Gina West,Male,Mumbai,Mumbai University,2nd,Java,LinkedIn,No
1455,LD1456,Dana Bell,Male,Hyderabad,Mumbai University,4th,Machine Learning,Mass-Mailing,No
1456,LD1457,Kyle Williams,Male,Ahmedabad,Jain University,2nd,Machine Learning,College Collaboration,No
1457,LD1458,Mary Meadows,Female,Pune,Jain University,1st,AI,College Collaboration,No
1458,LD1459,Barbara Forbes,Female,Mumbai,Gujarat Technological University,3rd,Java,Whatsapp,Yes
1459,LD1460,James Garza MD,Male,Hyderabad,IIT,2nd,AI,LinkedIn,No
1460,LD1461,Mark Jones,Female,Pune,Mumbai University,2nd,Robotics,LinkedIn,No
1461,LD1462,Jessica Hatfield,Male,Surat,Gujarat Technological University,1st,AI,LinkedIn,Yes
1462,LD1463,Jessica Brown,Female,Indore,Amity University,3rd,Machine Learning,Google Form,Yes
1463,LD1464,Emily Terry,Male,Hyderabad,Amity University,1st,Machine Learning,Google Form,No
1464,LD1465,Susan Brown,Female,Bangalore,Mumbai University,1st,Autocad,Instagram,No
1465,LD1466,Dennis Gomez,Female,Delhi,Jawaharlal Nehru Unversity,3rd,Java,Mass-Mailing,No
1466,LD1467,Jeffrey Dunn,Male,Ahmedabad,Delhi Unversity,4th,Electric vehicle,Whatsapp,Yes
1467,LD1468,Tracey Copeland,Female,Indore,Jain University,1st,Autocad,Mass-Mailing,No
1468,LD1469,Sue Lyons,Male,Pune,Jawaharlal Nehru Unversity,4th,Machine Learning,Instagram,Yes
1469,LD1470,Scott Russell,Female,Hyderabad,Mumbai University,2nd,Robotics,Google Form,Yes
1470,LD1471,Valerie Cummings,Male,Bangalore,Delhi Unversity,4th,Robotics,College Collaboration,No
1471,LD1472,Jason Farrell,Male,Delhi,IIT,1st,Java,Google Form,No
1472,LD1473,Harry Hale,Female,Surat,Amity University,3rd,Autocad,Instagram,No
1473,LD1474,Frank Robinson,Female,Pune,Manipal University,3rd,Electric vehicle,College Collaboration,Yes
1474,LD1475,Jennifer Santiago,Female,Indore,Manipal University,1st,Autocad,Instagram,No
1475,LD1476,Cody Frazier,Male,Indore,IIT,2nd,Machine Learning,Google Form,No
1476,LD1477,Jennifer Bell,Male,Delhi,Delhi Unversity,1st,Robotics,College Collaboration,No
1477,LD1478,Dustin Hall,Female,Ahmedabad,Amity University,2nd,Robotics,College Collaboration,No
1478,LD1479,Jason Brown,Female,Mumbai,Delhi Unversity,3rd,Machine Learning,Whatsapp,Yes
1479,LD1480,Laura Herrera,Male,Pune,Jawaharlal Nehru Unversity,2nd,Java,Google Form,No
1480,LD1481,Allison Koch,Female,Pune,IIT,4th,Machine Learning,Google Form,Yes
1481,LD1482,Daniel Cooper,Male,Indore,Mumbai University,3rd,Data Science,College Collaboration,No
1482,LD1483,Jenna Garcia,Female,Bangalore,Amity University,4th,AI,College Collaboration,No
1483,LD1484,Alicia Harrison,Male,Hyderabad,Gujarat Technological University,4th,Autocad,LinkedIn,Yes
1484,LD1485,Leonard Sutton,Female,Hyderabad,Jain University,1st,Autocad,Whatsapp,Yes
1485,LD1486,Richard Weeks,Male,Pune,Gujarat Technological University,1st,Java,College Collaboration,Yes
1486,LD1487,Rebecca Reyes,Male,Ahmedabad,IIT,4th,Autocad,LinkedIn,Yes
1487,LD1488,Margaret Chambers,Male,Pune,Delhi Unversity,3rd,AI,Instagram,No
1488,LD1489,Alec Ellis,Male,Bangalore,Jawaharlal Nehru Unversity,2nd,Autocad,Google Form,No
1489,LD1490,Heather Jones,Male,Delhi,IIT,4th,AI,Whatsapp,Yes
1490,LD1491,Richard Church,Female,Hyderabad,Amity University,2nd,Data Science,LinkedIn,No
1491,LD1492,Nicole Ware,Female,Indore,Amity University,1st,AI,Instagram,Yes
1492,LD1493,Catherine Hoover,Male,Surat,Jain University,3rd,Machine Learning,Mass-Mailing,Yes
1493,LD1494,Emily Pham,Male,Mumbai,Manipal University,4th,Data Science,Google Form,No
1494,LD1495,Erica Guzman,Female,Pune,Jawaharlal Nehru Unversity,4th,Electric vehicle,Mass-Mailing,No
1495,LD1496,Ms. Victoria Morgan,Male,Surat,Manipal University,2nd,Autocad,Mass-Mailing,Yes
1496,LD1497,Emma Garner,Female,Pune,Delhi Unversity,3rd,Autocad,Google Form,Yes
1497,LD1498,Benjamin Scott,Male,Indore,IIT,1st,AI,College Collaboration,No
1498,LD1499,Andrew Le,Female,Indore,Mumbai University,2nd,Autocad,College Collaboration,Yes
1499,LD1500,Danielle Barnes,Female,Delhi,Amity University,3rd,Robotics,LinkedIn,No
1500,LD1501,John Ho,Female,Hyderabad,Mumbai University,4th,Electric vehicle,College Collaboration,Yes
1501,LD1502,Dylan Duarte,Male,Ahmedabad,Gujarat Technological University,2nd,Machine Learning,Whatsapp,Yes
1502,LD1503,Marcus Schmidt,Male,Surat,Manipal University,2nd,AI,Instagram,Yes
1503,LD1504,Laura Johnson,Male,Bangalore,Gujarat Technological University,3rd,Robotics,Instagram,No
1504,LD1505,Rebecca Thompson,Male,Hyderabad,IIT,3rd,AI,Mass-Mailing,Yes
1505,LD1506,Andrea Johnson,Male,Surat,Jawaharlal Nehru Unversity,3rd,Machine Learning,Instagram,Yes
1506,LD1507,Manuel Morris,Male,Delhi,IIT,4th,AI,LinkedIn,Yes
1507,LD1508,David Miranda,Male,Delhi,Manipal University,2nd,Electric vehicle,College Collaboration,Yes
1508,LD1509,Robert Wallace,Male,Indore,Manipal University,1st,Machine Learning,Google Form,Yes
1509,LD1510,Chloe Stanley,Female,Bangalore,Jain University,4th,Java,Mass-Mailing,No
1510,LD1511,Christopher Edwards,Male,Pune,Jain University,4th,Java,Google Form,No
1511,LD1512,Amber Flores,Male,Delhi,Jawaharlal Nehru Unversity,3rd,Robotics,Whatsapp,Yes
1512,LD1513,Mr. Brian Carpenter,Male,Mumbai,Jawaharlal Nehru Unversity,3rd,Autocad,Mass-Mailing,No
1513,LD1514,Tyler Hernandez,Female,Surat,Amity University,1st,Autocad,Instagram,No
1514,LD1515,Daniel Gallegos,Female,Bangalore,IIT,4th,AI,Whatsapp,No
1515,LD1516,Anthony Ortiz,Male,Delhi,Manipal University,1st,AI,Instagram,No
1516,LD1517,Taylor Carr,Male,Indore,Jain University,4th,Data Science,Instagram,Yes
1517,LD1518,Lindsey Diaz,Male,Indore,Jain University,2nd,Autocad,Whatsapp,No
1518,LD1519,Kimberly Terrell,Male,Ahmedabad,Amity University,2nd,Electric vehicle,College Collaboration,No
1519,LD1520,David Church,Male,Mumbai,Manipal University,1st,Java,Whatsapp,No
1520,LD1521,Zachary Harrison,Female,Ahmedabad,Gujarat Technological University,2nd,Robotics,Whatsapp,Yes
1521,LD1522,Jeremy Wagner,Male,Delhi,Gujarat Technological University,1st,Machine Learning,LinkedIn,Yes
1522,LD1523,Linda Zimmerman MD,Male,Indore,Manipal University,4th,Autocad,LinkedIn,No
1523,LD1524,Sarah Navarro,Male,Mumbai,Jawaharlal Nehru Unversity,1st,Electric vehicle,Mass-Mailing,Yes
1524,LD1525,Charles Torres,Male,Indore,Mumbai University,1st,Data Science,Mass-Mailing,No
1525,LD1526,Scott Hart,Male,Surat,IIT,4th,Java,Instagram,Yes
1526,LD1527,Melissa Martinez,Male,Hyderabad,Gujarat Technological University,2nd,Java,LinkedIn,No
1527,LD1528,Adam Morgan,Female,Delhi,Mumbai University,4th,Electric vehicle,Instagram,Yes
1528,LD1529,Deborah Farley,Male,Bangalore,Amity University,1st,Electric vehicle,Whatsapp,No
1529,LD1530,Tracy Ryan,Female,Ahmedabad,Delhi Unversity,4th,Autocad,Whatsapp,No
1530,LD1531,Dylan Herman Jr.,Male,Bangalore,Mumbai University,4th,Electric vehicle,Whatsapp,No
1531,LD1532,Claire Leach,Female,Indore,Manipal University,4th,Machine Learning,Mass-Mailing,No
1532,LD1533,Madison Bender,Female,Delhi,Jain University,1st,Data Science,Mass-Mailing,Yes
1533,LD1534,Mark Williams,Female,Mumbai,Jain University,3rd,Machine Learning,College Collaboration,Yes
1534,LD1535,Ana Dominguez,Female,Delhi,Manipal University,4th,Machine Learning,Whatsapp,Yes
1535,LD1536,Patricia Thomas,Female,Ahmedabad,Delhi Unversity,4th,Java,Whatsapp,Yes
1536,LD1537,Wendy White,Female,Delhi,Manipal University,3rd,Robotics,Google Form,Yes
1537,LD1538,Daniel Salas,Male,Mumbai,Gujarat Technological University,4th,Machine Learning,Google Form,No
1538,LD1539,Cindy Day,Male,Hyderabad,Jain University,3rd,Data Science,Whatsapp,Yes
1539,LD1540,Carly Klein,Male,Ahmedabad,Mumbai University,1st,Data Science,Google Form,No
1540,LD1541,Heidi Cain,Female,Surat,Mumbai University,1st,Data Science,College Collaboration,No
1541,LD1542,Donna Clark,Male,Delhi,Amity University,3rd,AI,Whatsapp,Yes
1542,LD1543,Jason Campbell,Female,Ahmedabad,Gujarat Technological University,4th,Electric vehicle,Google Form,No
1543,LD1544,Emily Green,Male,Mumbai,Amity University,4th,AI,Google Form,No
1544,LD1545,Monica Brown,Male,Delhi,Amity University,1st,Electric vehicle,Mass-Mailing,Yes
1545,LD1546,Robert Hughes,Female,Surat,Mumbai University,1st,Autocad,LinkedIn,Yes
1546,LD1547,Donna Hines,Male,Hyderabad,Mumbai University,4th,Java,LinkedIn,No
1547,LD1548,Juan Hobbs,Female,Pune,IIT,1st,Machine Learning,Mass-Mailing,Yes
1548,LD1549,Mathew Aguirre,Male,Pune,Amity University,2nd,Robotics,Google Form,No
1549,LD1550,Roger Campbell,Female,Mumbai,Jain University,2nd,Machine Learning,Google Form,Yes
1550,LD1551,Ariana Mcfarland,Female,Delhi,Manipal University,4th,Robotics,Whatsapp,No
1551,LD1552,Nancy Armstrong,Male,Surat,Delhi Unversity,4th,Autocad,Mass-Mailing,Yes
1552,LD1553,Kelly Melendez,Female,Indore,Gujarat Technological University,2nd,Machine Learning,Instagram,No
1553,LD1554,Alexis Zimmerman,Female,Ahmedabad,Mumbai University,2nd,AI,Mass-Mailing,Yes
1554,LD1555,Mark Garner,Male,Delhi,Amity University,3rd,AI,Google Form,Yes
1555,LD1556,Anthony Garcia,Female,Pune,IIT,3rd,Data Science,Mass-Mailing,No
1556,LD1557,Donald Cortez,Female,Pune,IIT,1st,Autocad,Whatsapp,Yes
1557,LD1558,Brad Li,Female,Surat,Amity University,2nd,Java,Instagram,No
1558,LD1559,Christopher Rodriguez,Female,Ahmedabad,Mumbai University,3rd,Autocad,LinkedIn,No
1559,LD1560,Jerry Martinez,Male,Indore,Jawaharlal Nehru Unversity,1st,Electric vehicle,Instagram,Yes
1560,LD1561,Eddie Maynard,Male,Surat,Jain University,4th,Autocad,College Collaboration,Yes
1561,LD1562,Ashley Martin,Female,Surat,Jawaharlal Nehru Unversity,3rd,Java,Whatsapp,No
1562,LD1563,Joseph Austin,Male,Indore,Amity University,1st,Data Science,College Collaboration,No
1563,LD1564,Kelly Drake,Female,Surat,Jawaharlal Nehru Unversity,4th,AI,College Collaboration,No
1564,LD1565,Heather Chang,Female,Pune,Jawaharlal Nehru Unversity,4th,Electric vehicle,Google Form,No
1565,LD1566,Anthony Shaw,Female,Indore,Jawaharlal Nehru Unversity,1st,AI,Google Form,No
1566,LD1567,Michael Boyd,Female,Mumbai,Gujarat Technological University,2nd,Java,College Collaboration,Yes
1567,LD1568,Michelle Evans,Male,Mumbai,Delhi Unversity,2nd,Autocad,Mass-Mailing,Yes
1568,LD1569,Phillip Martin,Female,Delhi,Manipal University,3rd,Robotics,College Collaboration,Yes
1569,LD1570,Patrick Sanchez,Female,Mumbai,IIT,1st,Data Science,Instagram,Yes
1570,LD1571,Darius Wilson,Female,Delhi,Jain University,2nd,AI,Google Form,Yes
1571,LD1572,Sylvia Williams,Female,Delhi,Jain University,4th,AI,Mass-Mailing,Yes
1572,LD1573,Joseph Snyder,Female,Surat,Amity University,1st,Electric vehicle,Whatsapp,Yes
1573,LD1574,Nathan Matthews,Male,Bangalore,Delhi Unversity,3rd,Java,Mass-Mailing,No
1574,LD1575,Isaac Horne,Male,Delhi,Jain University,2nd,Machine Learning,Instagram,No
1575,LD1576,Barbara Wolfe,Male,Pune,IIT,3rd,Java,Instagram,No
1576,LD1577,Yvonne Arias,Female,Ahmedabad,Jawaharlal Nehru Unversity,3rd,AI,Instagram,Yes
1577,LD1578,Hannah Higgins,Female,Delhi,Jawaharlal Nehru Unversity,1st,Machine Learning,Instagram,No
1578,LD1579,Joseph Bryan,Male,Mumbai,Mumbai University,3rd,Data Science,LinkedIn,Yes
1579,LD1580,Erica Short,Female,Delhi,Gujarat Technological University,3rd,Autocad,Instagram,No
1580,LD1581,April Hayes,Male,Delhi,IIT,4th,Machine Learning,Google Form,Yes
1581,LD1582,Jonathan Osborne,Male,Indore,Gujarat Technological University,2nd,Electric vehicle,Instagram,Yes
1582,LD1583,Jon Reid,Female,Pune,Amity University,4th,Robotics,Instagram,No
1583,LD1584,Bethany Perez,Male,Mumbai,IIT,4th,Robotics,Whatsapp,Yes
1584,LD1585,Susan Fernandez,Female,Delhi,Jain University,1st,Java,LinkedIn,Yes
1585,LD1586,Sharon Mejia,Female,Delhi,IIT,1st,Electric vehicle,Instagram,Yes
1586,LD1587,Mallory Mendez,Female,Bangalore,IIT,3rd,AI,Google Form,Yes
1587,LD1588,Robin Dawson,Male,Ahmedabad,Jawaharlal Nehru Unversity,1st,Robotics,College Collaboration,Yes
1588,LD1589,Thomas York,Male,Hyderabad,Delhi Unversity,2nd,Data Science,Whatsapp,Yes
1589,LD1590,Scott Velez,Female,Surat,Delhi Unversity,4th,Java,College Collaboration,Yes
1590,LD1591,Danielle Mitchell,Female,Indore,Jawaharlal Nehru Unversity,4th,Autocad,Instagram,No
1591,LD1592,Dustin Green,Female,Mumbai,Manipal University,1st,Robotics,Instagram,Yes
1592,LD1593,Andrew Williams,Male,Bangalore,Manipal University,4th,Electric vehicle,Whatsapp,Yes
1593,LD1594,Willie Williams,Female,Indore,Jain University,4th,Data Science,Google Form,Yes
1594,LD1595,Julian Norris,Male,Delhi,Manipal University,4th,Java,Instagram,Yes
1595,LD1596,Jacob Marshall,Male,Pune,Gujarat Technological University,4th,Machine Learning,LinkedIn,Yes
1596,LD1597,Elizabeth Stanton,Male,Bangalore,Manipal University,4th,Robotics,Whatsapp,No
